Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I99900KS,Intel,Core i9-9900KS,1,102,8745,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070110900KF,Intel,Core i9-10900KF,2,102,3345,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070110900K,Intel,Core i9-10900K,3,102,21458,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110850K,Intel,Core i9-10850K,4,101,12244,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,5,101,7145,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,6,100,3047,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,7,100,13022,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8070110700K,Intel,Core i7-10700K,8,98.6,53868,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX80684I99900K,Intel,Core i9-9900K,9,98.6,286212,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,,Intel,Core i9-10900,10,98.3,2544,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX8070110700KF,Intel,Core i7-10700KF,11,98.3,3358,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX80684I99900KF,Intel,Core i9-9900KF,12,98.2,12041,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX8070110900F,Intel,Core i9-10900F,13,98.2,976,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,14,97.9,312447,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I79700KF,Intel,Core i7-9700KF,15,97.3,17231,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,16,97,19912,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
