Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,111,549,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,107,797,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),3,101,530,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,4,100,1350,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),5,98.5,714,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FZWX,WD,Black 6TB (2016),6,98.4,4397,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,0S03839,HGST,Deskstar NAS 6TB,7,96.7,773,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),8,95.9,71807,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,9,95.7,5028,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,WD6001FZWX,WD,Black 6TB (2015),10,95.1,4088,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),11,94.8,201,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),12,94.4,10481,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),13,93.5,696702,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,14,93.4,309,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),15,92.9,642,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,WD4004FZWX,WD,Black 4TB (2016),16,92.2,8686,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,17,92.1,6826,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,WD100EFAX,WD,Red 10TB (2017),18,92,1236,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,WD4002FYYZ,WD,Gold 4TB (2016),19,92,3466,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,20,92,4144,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),21,91.9,378611,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,22,91.9,654,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,22,91.9,654,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD2005FBYZ,WD,Gold 2TB (2016),23,90.3,3121,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),24,90.3,272304,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,25,90,160427,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,HDWD120XZSTA,Toshiba,P300 2TB,26,90,67074,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120EZSTA,Toshiba,P300 2TB,26,90,67074,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,26,90,67074,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWE150XZSTA,Toshiba,X300 5TB,27,89.9,7933,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,27,89.9,7933,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),28,89.8,233,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,29,89.4,71,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),30,89.3,919,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,ST2000DM001,Seagate,Barracuda 7200.14 2TB,31,89.1,590421,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619
HDD,WD5001FZWX,WD,Black 5TB (2015),32,88.9,5518,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,33,88.9,1138221,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,HDWD130XZSTA,Toshiba,P300 3TB,34,88.8,47994,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130EZSTA,Toshiba,P300 3TB,34,88.8,47994,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,34,88.8,47994,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,35,88.7,9353,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,ST4000VX007,Seagate,SkyHawk 4TB (2016),36,88,4192,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,WD80EFAX,WD,Red 8TB (2017),37,88,2951,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,ST3000NC002,Seagate,Constellation CS 3TB,38,88,521,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,WD1005FBYZ,WD,Gold 1TB (2016),39,87.8,1978,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,40,87.8,1772,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,WD2003FZEX,WD,Black 2TB (2013),41,87.6,94859,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,42,86.7,11965,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,HDWE160XZSTA,Toshiba,X300 6TB,43,86.5,4317,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,43,86.5,4317,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
